feature_importance,precision,recall,false_positive,false_negative,final_accuracy_train,final_accuracy_test,f1
"[8.73257246e-02 1.42810237e-01 6.10118848e-02 1.27481440e-01
 4.61064768e-02 3.87176652e-02 7.90629970e-02 8.40706784e-02
 2.08640788e-02 5.85883858e-03 4.01920148e-03 9.32688032e-04
 1.21911956e-02 0.00000000e+00 1.84501425e-02 1.70486024e-02
 1.14656872e-04 1.36320934e-02 1.29494691e-02 2.00432776e-03
 3.25886521e-04 0.00000000e+00 2.14861099e-04 0.00000000e+00
 0.00000000e+00 3.16751269e-02 3.57513966e-03 2.50071695e-04
 0.00000000e+00 6.13277351e-06 6.64322588e-06 1.34575724e-02
 1.49349206e-02 8.13236173e-02 8.31342286e-03 1.33712006e-02
 1.49302126e-02 6.96008675e-03 6.94252773e-03 1.47149015e-02
 1.43348299e-02 1.04476691e-05]",0.5818026484408373,0.24209029505865623,979,4264,0.7481705896061525,0.6334591722595079,0.3419103803188151
"[0.02311993 0.02154188 0.02395692 0.02277843 0.04066683 0.05006168
 0.22140956 0.04583629 0.02236907 0.02478759 0.02256214 0.0166245
 0.02232867 0.         0.02220924 0.02148666 0.         0.02277023
 0.03345239 0.01999907 0.         0.         0.         0.
 0.         0.02064827 0.0207526  0.         0.         0.
 0.         0.01886029 0.05828394 0.02934284 0.04131966 0.02112609
 0.02254026 0.02199223 0.02891081 0.01934728 0.01891472 0.        ]",0.4901666416453986,0.5803412726626378,3396,2361,0.6515730598927989,0.5975251677852349,0.5314560104175144
